0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,class
2,1,38.5,66,28,3,3, ?,2,5,4,4, ?, ?, ?,3,5,45,8.4, ?, ?,2
1,1,39.2,88,20, ?, ?,4,1,3,4,2, ?, ?, ?,4,2,50,85,2,2,3
2,1,38.3,40,24,1,1,3,1,3,3,1, ?, ?, ?,1,1,33,6.7, ?, ?,1
1,9,39.1,164,84,4,1,6,2,2,4,4,1,2,5,3, ?,48,7.2,3,5.3,2
2,1,37.3,104,35, ?, ?,6,2, ?, ?, ?, ?, ?, ?, ?, ?,74,7.4, ?, ?,2
2,1, ?, ?, ?,2,1,3,1,2,3,2,2,1, ?,3,3, ?, ?, ?, ?,1
1,1,37.9,48,16,1,1,1,1,3,3,3,1,1, ?,3,5,37,7, ?, ?,1
1,1, ?,60, ?,3, ?, ?,1, ?,4,2,2,1, ?,3,4,44,8.3, ?, ?,2
2,1, ?,80,36,3,4,3,1,4,4,4,2,1, ?,3,5,38,6.2, ?, ?,3
2,9,38.3,90, ?,1, ?,1,1,5,3,1,2,1, ?,3, ?,40,6.2,1,2.2,1
1,1,38.1,66,12,3,3,5,1,3,3,1,2,1,3,2,5,44,6,2,3.6,1
2,1,39.1,72,52,2, ?,2,1,2,1,2,1,1, ?,4,4,50,7.8, ?, ?,1
1,1,37.2,42,12,2,1,1,1,3,3,3,3,1, ?,4,5, ?,7, ?, ?,1
2,9,38,92,28,1,1,2,1,1,3,2,3, ?,7.2,1,1,37,6.1,1, ?,2
1,1,38.2,76,28,3,1,1,1,3,4,1,2,2, ?,4,4,46,81,1,2,1
1,1,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4, ?,45,6.8, ?, ?,2
1,9, ?,128,36,3,3,4,2,4,4,3,3, ?, ?,4,5,53,7.8,3,4.7,2
2,1,37.5,48,24, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?,1
1,1,37.6,64,21,1,1,2,1,2,3,1,1,1, ?,2,5,40,7,1, ?,1
2,1,39.4,110,35,4,3,6, ?, ?,3,3, ?, ?, ?, ?, ?,55,8.7, ?, ?,1
1,1,39.9,72,60,1,1,5,2,5,4,4,3,1, ?,4,4,46,6.1,2, ?,1
2,1,38.4,48,16,1, ?,1,1,1,3,1,2,3,5.5,4,3,49,6.8, ?, ?,1
1,1,38.6,42,34,2,1,4, ?,2,3,1, ?, ?, ?,1, ?,48,7.2, ?, ?,1
1,9,38.3,130,60, ?,3, ?,1,2,4, ?, ?, ?, ?, ?, ?,50,70, ?, ?,1
1,1,38.1,60,12,3,3,3,1, ?,4,3,3,2,2, ?, ?,51,65, ?, ?,1
2,1,37.8,60,42, ?, ?, ?,1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?,1
